"","zip_code","count_april2023","count_april2024","difference","pct_change","primary_city","county","estimated_population"
"371",21750,18,12,-6,-33.3333333333333,"Hancock","Washington County",3263
"372",21754,14,18,4,28.5714285714286,"Ijamsville","Frederick County",5498
"373",21755,8,12,4,50,"Jefferson","Frederick County",4903
"374",21756,11,6,-5,-45.4545454545455,"Keedysville","Washington County",3193
"375",21757,1,1,0,0,"Keymar","Frederick County",2417
"376",21758,8,6,-2,-25,"Knoxville","Frederick County",4028
"377",21762,0,2,2,Inf,"Libertytown","Frederick County",0
"378",21765,1,0,-1,-100,"Lisbon","Howard County",0
"379",21766,3,4,1,33.3333333333333,"Little Orleans","Allegany County",531
"380",21767,3,6,3,100,"Maugansville","Washington County",1197
"381",21769,18,21,3,16.6666666666667,"Middletown","Frederick County",10249
"382",21770,13,9,-4,-30.7692307692308,"Monrovia","Frederick County",4816
"383",21771,48,57,9,18.75,"Mount Airy","Carroll County",26546
"384",21773,7,10,3,42.8571428571429,"Myersville","Frederick County",4697
"385",21774,34,37,3,8.82352941176471,"New Market","Frederick County",10243
"386",21776,15,13,-2,-13.3333333333333,"New Windsor","Carroll County",5103
"387",21777,4,0,-4,-100,"Point Of Rocks","Frederick County",1298
"388",21778,3,2,-1,-33.3333333333333,"Rocky Ridge","Frederick County",951
"389",21779,4,2,-2,-50,"Rohrersville","Washington County",796
"390",21780,6,5,-1,-16.6666666666667,"Sabillasville","Frederick County",1300
"391",21782,11,10,-1,-9.09090909090909,"Sharpsburg","Washington County",3567
"392",21783,21,18,-3,-14.2857142857143,"Smithsburg","Washington County",7642
"393",21784,63,75,12,19.047619047619,"Sykesville","Carroll County",33098
"394",21787,22,28,6,27.2727272727273,"Taneytown","Carroll County",9033
"395",21788,23,25,2,8.69565217391304,"Thurmont","Frederick County",10306
"396",21790,0,1,1,Inf,"Tuscarora","Frederick County",0
"397",21791,10,6,-4,-40,"Union Bridge","Frederick County",4524
