"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"269","24005430900","Census Tract 4309"," Baltimore County"," Maryland","number_households",2093,140,"2010"
"270","24005430900","Census Tract 4309"," Baltimore County"," Maryland","median_income",40112,8467,"2010"
"271","24005440100","Census Tract 4401"," Baltimore County"," Maryland","number_households",1785,80,"2010"
"272","24005440100","Census Tract 4401"," Baltimore County"," Maryland","median_income",71726,8011,"2010"
"273","24005440200","Census Tract 4402"," Baltimore County"," Maryland","number_households",1130,55,"2010"
"274","24005440200","Census Tract 4402"," Baltimore County"," Maryland","median_income",58452,6157,"2010"
"275","24005440300","Census Tract 4403"," Baltimore County"," Maryland","number_households",896,75,"2010"
"276","24005440300","Census Tract 4403"," Baltimore County"," Maryland","median_income",54490,5293,"2010"
"277","24005440400","Census Tract 4404"," Baltimore County"," Maryland","number_households",2158,94,"2010"
"278","24005440400","Census Tract 4404"," Baltimore County"," Maryland","median_income",61621,8322,"2010"
"279","24005440500","Census Tract 4405"," Baltimore County"," Maryland","number_households",1277,74,"2010"
"280","24005440500","Census Tract 4405"," Baltimore County"," Maryland","median_income",61420,15863,"2010"
"281","24005440600","Census Tract 4406"," Baltimore County"," Maryland","number_households",735,57,"2010"
"282","24005440600","Census Tract 4406"," Baltimore County"," Maryland","median_income",108750,10628,"2010"
"283","24005440701","Census Tract 4407.01"," Baltimore County"," Maryland","number_households",2483,137,"2010"
"284","24005440701","Census Tract 4407.01"," Baltimore County"," Maryland","median_income",58083,9371,"2010"
"285","24005440702","Census Tract 4407.02"," Baltimore County"," Maryland","number_households",2209,93,"2010"
"286","24005440702","Census Tract 4407.02"," Baltimore County"," Maryland","median_income",62650,9650,"2010"
"287","24005440800","Census Tract 4408"," Baltimore County"," Maryland","number_households",1083,101,"2010"
"288","24005440800","Census Tract 4408"," Baltimore County"," Maryland","median_income",52690,10164,"2010"
"289","24005440900","Census Tract 4409"," Baltimore County"," Maryland","number_households",1387,83,"2010"
"290","24005440900","Census Tract 4409"," Baltimore County"," Maryland","median_income",49943,15902,"2010"
"291","24005441000","Census Tract 4410"," Baltimore County"," Maryland","number_households",1276,70,"2010"
"292","24005441000","Census Tract 4410"," Baltimore County"," Maryland","median_income",60263,9141,"2010"
"293","24005441101","Census Tract 4411.01"," Baltimore County"," Maryland","number_households",891,42,"2010"
"294","24005441101","Census Tract 4411.01"," Baltimore County"," Maryland","median_income",61036,13012,"2010"
"295","24005441102","Census Tract 4411.02"," Baltimore County"," Maryland","number_households",1798,92,"2010"
