"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"7873","24033806706","Census Tract 8067.06"," Prince George's County"," Maryland","number_households",1406,177,"2020"
"7874","24033806706","Census Tract 8067.06"," Prince George's County"," Maryland","median_income",73846,20271,"2020"
"7875","24033806708","Census Tract 8067.08"," Prince George's County"," Maryland","number_households",2106,328,"2020"
"7876","24033806708","Census Tract 8067.08"," Prince George's County"," Maryland","median_income",60064,10596,"2020"
"7877","24033806710","Census Tract 8067.10"," Prince George's County"," Maryland","number_households",2189,287,"2020"
"7878","24033806710","Census Tract 8067.10"," Prince George's County"," Maryland","median_income",83372,19785,"2020"
"7879","24033806711","Census Tract 8067.11"," Prince George's County"," Maryland","number_households",1914,192,"2020"
"7880","24033806711","Census Tract 8067.11"," Prince George's County"," Maryland","median_income",75000,12663,"2020"
"7881","24033806712","Census Tract 8067.12"," Prince George's County"," Maryland","number_households",1603,374,"2020"
"7882","24033806712","Census Tract 8067.12"," Prince George's County"," Maryland","median_income",59688,16109,"2020"
"7883","24033806713","Census Tract 8067.13"," Prince George's County"," Maryland","number_households",1147,147,"2020"
"7884","24033806713","Census Tract 8067.13"," Prince George's County"," Maryland","median_income",69247,3981,"2020"
"7885","24033806714","Census Tract 8067.14"," Prince George's County"," Maryland","number_households",1742,215,"2020"
"7886","24033806714","Census Tract 8067.14"," Prince George's County"," Maryland","median_income",72321,13387,"2020"
"7887","24033806800","Census Tract 8068"," Prince George's County"," Maryland","number_households",1155,143,"2020"
"7888","24033806800","Census Tract 8068"," Prince George's County"," Maryland","median_income",119438,15792,"2020"
"7889","24033806900","Census Tract 8069"," Prince George's County"," Maryland","number_households",1448,153,"2020"
"7890","24033806900","Census Tract 8069"," Prince George's County"," Maryland","median_income",107829,26098,"2020"
"7891","24033807000","Census Tract 8070"," Prince George's County"," Maryland","number_households",2949,365,"2020"
"7892","24033807000","Census Tract 8070"," Prince George's County"," Maryland","median_income",46094,17233,"2020"
"7893","24033807102","Census Tract 8071.02"," Prince George's County"," Maryland","number_households",938,145,"2020"
"7894","24033807102","Census Tract 8071.02"," Prince George's County"," Maryland","median_income",111429,27528,"2020"
"7895","24033807301","Census Tract 8073.01"," Prince George's County"," Maryland","number_households",1288,196,"2020"
"7896","24033807301","Census Tract 8073.01"," Prince George's County"," Maryland","median_income",62041,6874,"2020"
"7897","24033807304","Census Tract 8073.04"," Prince George's County"," Maryland","number_households",588,84,"2020"
"7898","24033807304","Census Tract 8073.04"," Prince George's County"," Maryland","median_income",106250,16676,"2020"
"7899","24033807305","Census Tract 8073.05"," Prince George's County"," Maryland","number_households",952,144,"2020"
"7900","24033807305","Census Tract 8073.05"," Prince George's County"," Maryland","median_income",106034,19117,"2020"
"7901","24033807404","Census Tract 8074.04"," Prince George's County"," Maryland","number_households",1579,162,"2020"
"7902","24033807404","Census Tract 8074.04"," Prince George's County"," Maryland","median_income",91806,16736,"2020"
"7903","24033807405","Census Tract 8074.05"," Prince George's County"," Maryland","number_households",1922,328,"2020"
"7904","24033807405","Census Tract 8074.05"," Prince George's County"," Maryland","median_income",104329,16746,"2020"
"7905","24033807407","Census Tract 8074.07"," Prince George's County"," Maryland","number_households",2188,232,"2020"
"7906","24033807407","Census Tract 8074.07"," Prince George's County"," Maryland","median_income",88625,28042,"2020"
"7907","24033807408","Census Tract 8074.08"," Prince George's County"," Maryland","number_households",2297,349,"2020"
"7908","24033807408","Census Tract 8074.08"," Prince George's County"," Maryland","median_income",100768,12230,"2020"
"7909","24033807409","Census Tract 8074.09"," Prince George's County"," Maryland","number_households",1105,115,"2020"
"7910","24033807409","Census Tract 8074.09"," Prince George's County"," Maryland","median_income",84676,17852,"2020"
"7911","24033807410","Census Tract 8074.10"," Prince George's County"," Maryland","number_households",2390,267,"2020"
"7912","24033807410","Census Tract 8074.10"," Prince George's County"," Maryland","median_income",63958,14356,"2020"
"7913","24033807500","Census Tract 8075"," Prince George's County"," Maryland","number_households",2464,198,"2020"
"7914","24033807500","Census Tract 8075"," Prince George's County"," Maryland","median_income",89643,19959,"2020"
"7915","24033980000","Census Tract 9800"," Prince George's County"," Maryland","number_households",833,108,"2020"
"7916","24033980000","Census Tract 9800"," Prince George's County"," Maryland","median_income",32950,12441,"2020"
"7917","24035810100","Census Tract 8101"," Queen Anne's County"," Maryland","number_households",987,139,"2020"
"7918","24035810100","Census Tract 8101"," Queen Anne's County"," Maryland","median_income",69974,5142,"2020"
"7919","24035810200","Census Tract 8102"," Queen Anne's County"," Maryland","number_households",1027,142,"2020"
"7920","24035810200","Census Tract 8102"," Queen Anne's County"," Maryland","median_income",62476,15019,"2020"
"7921","24035810300","Census Tract 8103"," Queen Anne's County"," Maryland","number_households",1968,228,"2020"
"7922","24035810300","Census Tract 8103"," Queen Anne's County"," Maryland","median_income",71422,8697,"2020"
"7923","24035810400","Census Tract 8104"," Queen Anne's County"," Maryland","number_households",2049,262,"2020"
"7924","24035810400","Census Tract 8104"," Queen Anne's County"," Maryland","median_income",110433,10125,"2020"
"7925","24035810500","Census Tract 8105"," Queen Anne's County"," Maryland","number_households",1783,134,"2020"
"7926","24035810500","Census Tract 8105"," Queen Anne's County"," Maryland","median_income",97788,18904,"2020"
"7927","24035810600","Census Tract 8106"," Queen Anne's County"," Maryland","number_households",2021,142,"2020"
"7928","24035810600","Census Tract 8106"," Queen Anne's County"," Maryland","median_income",115040,12467,"2020"
"7929","24035810700","Census Tract 8107"," Queen Anne's County"," Maryland","number_households",1526,209,"2020"
"7930","24035810700","Census Tract 8107"," Queen Anne's County"," Maryland","median_income",99700,15965,"2020"
"7931","24035810800","Census Tract 8108"," Queen Anne's County"," Maryland","number_households",2411,258,"2020"
"7932","24035810800","Census Tract 8108"," Queen Anne's County"," Maryland","median_income",103656,9443,"2020"
"7933","24035810901","Census Tract 8109.01"," Queen Anne's County"," Maryland","number_households",2262,186,"2020"
"7934","24035810901","Census Tract 8109.01"," Queen Anne's County"," Maryland","median_income",111409,8124,"2020"
"7935","24035810902","Census Tract 8109.02"," Queen Anne's County"," Maryland","number_households",1081,118,"2020"
"7936","24035810902","Census Tract 8109.02"," Queen Anne's County"," Maryland","median_income",98008,5968,"2020"
"7937","24035811000","Census Tract 8110"," Queen Anne's County"," Maryland","number_households",1885,211,"2020"
"7938","24035811000","Census Tract 8110"," Queen Anne's County"," Maryland","median_income",84357,5494,"2020"
"7939","24035990000","Census Tract 9900"," Queen Anne's County"," Maryland","number_households",0,13,"2020"
"7940","24035990000","Census Tract 9900"," Queen Anne's County"," Maryland","median_income",NA,NA,"2020"
"7941","24035990100","Census Tract 9901"," Queen Anne's County"," Maryland","number_households",0,13,"2020"
