County,County Name,Election District - Precinct,Congressional,Legislative,Office Name,Office District,Candidate Name,Party,Winner,Write-In?,Early Votes,Early Votes Against,Election Night Votes,Election Night Votes Against,Mail-In Ballot 1 Votes,Mail-In Ballot 1 Votes Against,Provisional Votes,Provisional Votes Against,Mail-In Ballot 2 Votes,Mail-In Ballot 2 Votes Against 
3,Baltimore City,001-004,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Erik Atas,JUD,Y,,77,,273,,113,,27,,60, 
3,Baltimore City,001-004,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Charles Mario Blomquist,JUD,Y,,80,,249,,114,,31,,57, 
3,Baltimore City,001-004,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Myshala E. Middleton,JUD,Y,,80,,285,,125,,34,,57, 
3,Baltimore City,001-004,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Barry G. Williams,JUD,Y,,78,,278,,124,,30,,58, 
3,Baltimore City,001-004,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Other Write-Ins,,,Y,1,,3,,0,,1,,0, 
3,Baltimore City,001-004,7,46,Judge Spec Appeal at Lg,,Stuart R. Berger,JUD,Y,,101,18,330,98,124,20,36,8,65,6
3,Baltimore City,001-004,7,46,Judge Spec Appeal at Lg,,Terrence M. R. Zic,JUD,Y,,92,24,327,96,117,22,33,9,56,13
3,Baltimore City,001-004,7,46,State's Attorney,,Ivan Bates,DEM,Y,,140,,492,,194,,55,,101, 
3,Baltimore City,001-004,7,46,State's Attorney,,Other Write-Ins,,,Y,3,,16,,0,,0,,0, 
3,Baltimore City,001-004,7,46,Clerk Circuit Court,,Xavier A. Conaway,DEM,Y,,108,,438,,155,,50,,85, 
3,Baltimore City,001-004,7,46,Clerk Circuit Court,,Other Write-Ins,,,Y,3,,12,,5,,2,,1, 
3,Baltimore City,001-004,7,46,Register of Wills,,Belinda K. Conaway,DEM,Y,,112,,440,,153,,51,,89, 
3,Baltimore City,001-004,7,46,Register of Wills,,Other Write-Ins,,,Y,1,,8,,0,,0,,0, 
3,Baltimore City,001-004,7,46,Judge Orphans' Court,,"Charles ""Chuck"" Bernstein",DEM,Y,,101,,367,,139,,45,,78, 
3,Baltimore City,001-004,7,46,Judge Orphans' Court,,Lewyn Scott Garrett,DEM,Y,,96,,357,,136,,40,,77, 
3,Baltimore City,001-004,7,46,Judge Orphans' Court,,Michele E. Loewenthal,DEM,Y,,103,,366,,141,,43,,81, 
3,Baltimore City,001-004,7,46,Judge Orphans' Court,,Other Write-Ins,,,Y,0,,5,,0,,0,,0, 
3,Baltimore City,001-004,7,46,Sheriff,,Sam Cogen,DEM,Y,,123,,438,,176,,50,,92, 
3,Baltimore City,001-004,7,46,Sheriff,,Other Write-Ins,,,Y,0,,9,,0,,0,,0, 
3,Baltimore City,001-004,7,46,Board of Ed at Large,,April Christina Curley,NON,,,48,,142,,77,,20,,37, 
3,Baltimore City,001-004,7,46,Board of Ed at Large,,Ashley E. Esposito,NON,Y,,75,,257,,91,,22,,51, 
3,Baltimore City,001-004,7,46,Board of Ed at Large,,Salimah Jasani,NON,,,44,,152,,69,,17,,34, 
